Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"European Equities"
"17 Jan 2025"
"All datapoints provided as of end of last active trading day."
"2020 BULKERS";BMG9156K1018;2020;"Oslo Børs";NOK;129,00;129,40;125,00;125,60;"17/01/2025 16:25";CET;87213;'10995142,20;125,60;17/01/2025
2CRSI;FR0013341781;AL2SI;"Euronext Growth Paris";EUR;4,10;4,17;4,04;4,07;"17/01/2025 17:35";CET;35922;'147717,825;4,07;17/01/2025
"3D SYSTEMS CORP";US88554D2053;4DDD;EuroTLX;EUR;3,06;3,06;3,06;3,06;"10/01/2025 15:41";CET;1320;4039,20;2,959;17/01/2025
"3D SYSTEMS CORP";US88554D2053;1DDD;"Euronext Global Equity Market";EUR;3,16;3,16;3,16;3,16;"17/01/2025 09:00";CET;1000;3160,00;2,957;17/01/2025
"3D SYSTEMS CORP";US88554D2053;2DDD;"Trading After Hours";EUR;3,171;3,171;3,171;3,171;"10/12/2024 19:18";CET;1220;3868,62;3,049;16/01/2025
3M;US88579Y1010;4MMM;EuroTLX;EUR;125,08;125,08;125,08;125,08;"'02/01/2025 17:17";CET;15;1876,20;136,68;17/01/2025
3M;US88579Y1010;1MMM;"Euronext Global Equity Market";EUR;133,52;133,52;133,52;133,52;"16/01/2025 09:08";CET;12;1602,24;136,76;17/01/2025
3M;US88579Y1010;2MMM;"Trading After Hours";EUR;117,36;117,36;117,36;117,36;"'09/09/2024 20:14";CET;40;4694,40;134,20;16/01/2025
"4AIM SICAF";IT0005204729;AIM;"Euronext Growth Milan";EUR;96,50;97,99;94,99;97,99;"17/01/2025 17:22";CET;128;12232,44;96,50;17/01/2025
"4AIM SICAF COMP 2";IT0005440323;AIM2;"Euronext Growth Milan";EUR;184,00;190,02;180,54;180,54;"13/01/2025 17:13";CET;44;8248,84;180,54;17/01/2025
